t,py,vy
7.0167,0.155488,-6.192411
7.0250,0.116461,6.253907
7.0333,0.168237,6.172157
7.0417,0.219331,6.090407
7.0500,0.269743,6.008657
7.0583,0.319475,5.926907
7.0667,0.368525,5.845157
7.0750,0.416894,5.763407
7.0833,0.464582,5.681657
7.0917,0.511588,5.599907
7.1000,0.557914,5.518157
7.1083,0.603558,5.436407
7.1167,0.648521,5.354657
7.1250,0.692802,5.272907
7.1333,0.736402,5.191157
7.1417,0.779321,5.109407
7.1500,0.821559,5.027657
7.1583,0.863116,4.945907
7.1667,0.903991,4.864157
7.1750,0.944185,4.782407
7.1833,0.983698,4.700657
7.1917,1.022529,4.618907
7.2000,1.060679,4.537157
7.2083,1.098148,4.455407
7.2167,1.134936,4.373657
7.2250,1.171043,4.291907
7.2333,1.206468,4.210157
7.2417,1.241212,4.128407
7.2500,1.275275,4.046657
7.2583,1.308656,3.964907
7.2667,1.341357,3.883157
7.2750,1.373376,3.801407
7.2833,1.404713,3.719657
7.2917,1.435370,3.637907
7.3000,1.465345,3.556157
7.3083,1.494639,3.474407
7.3167,1.523252,3.392657
7.3250,1.551183,3.310907
7.3333,1.578434,3.229157
7.3417,1.605003,3.147407
7.3500,1.630890,3.065657
7.3583,1.656097,2.983907
7.3667,1.680622,2.902157
7.3750,1.704466,2.820407
7.3833,1.727629,2.738657
7.3917,1.750110,2.656907
7.4000,1.771911,2.575157
7.4083,1.793030,2.493407
7.4167,1.813468,2.411657
7.4250,1.833224,2.329907
7.4333,1.852299,2.248157
7.4417,1.870693,2.166407
7.4500,1.888406,2.084657
7.4583,1.905438,2.002907
7.4667,1.921788,1.921157
7.4750,1.937457,1.839407
7.4833,1.952445,1.757657
